Distribution|Votes|Rank|Title|Year
0000000125|1551650|9.2|The Shawshank Redemption |1994
0000000125|1062212|9.2|The Godfather |1972
0000000124|719359|9.0|The Godfather: Part II |1974
0000000124|1526941|8.9|The Dark Knight |2008
0000000133|402417|8.9|12 Angry Men |1957
0000000133|790006|8.9|Schindler's List |1993
0000000123|1209393|8.9|Pulp Fiction |1994
0000000123|463429|8.9|Il buono, il brutto, il cattivo |1966
0000000124|1112800|8.9|The Lord of the Rings: The Return of the King |2003
0000000133|1225086|8.8|Fight Club |1999
0000000123|1137295|8.8|The Lord of the Rings: The Fellowship of the Ring |2001
0000000123|728094|8.7|Star Wars: Episode V - The Empire Strikes Back |1980
0000000133|1125145|8.7|Forrest Gump |1994
0000000123|1326186|8.7|Inception |2010
0000000232|626785|8.7|One Flew Over the Cuckoo's Nest |1975
0000000123|1003768|8.7|The Lord of the Rings: The Two Towers |2002
0000000233|667889|8.7|Goodfellas |1990
0000000233|1113401|8.7|The Matrix |1999
0000000223|798290|8.7|Star Wars |1977
0000000123|212328|8.7|Shichinin no samurai |1954
0000000232|491760|8.6|Cidade de Deus |2002
0000001232|931535|8.6|Se7en |1995
0000001232|801208|8.6|The Silence of the Lambs |1991
0000000232|679822|8.6|The Usual Suspects |1995
0000001123|250094|8.6|It's a Wonderful Life |1946
0000000233|375858|8.6|La vita è bella |1997
0000001232|660310|8.6|Léon |1994
0000001223|198657|8.6|C'era una volta il West |1968
0000000124|763217|8.5|Interstellar |2014
0000001232|800591|8.5|Saving Private Ryan |1998
0000000223|373437|8.5|Sen to Chihiro no Kamikakushi |2001
0000001232|719345|8.5|American History X |1998
0000001223|360540|8.5|Casablanca |1942
0000001222|385808|8.5|Psycho |1960
0000000223|96792|8.5|City Lights |1931
0000001222|605394|8.5|Raiders of the Lost Ark |1981
0000001222|289872|8.5|Rear Window |1954
0000000232|440800|8.5|Intouchables |2011
0000001222|127414|8.5|Modern Times |1936
0000001232|703294|8.5|The Green Mile |1999
0000001222|682775|8.5|Terminator 2: Judgment Day |1991
0000001232|306539|8.5|Whiplash |2014
0000001232|449975|8.5|The Pianist |2002
0000001232|793824|8.5|The Departed |2006
0000001232|778380|8.5|Memento |2000
0000001222|657899|8.5|Back to the Future |1985
0000001222|895654|8.5|Gladiator |2000
0000001222|416641|8.5|Apocalypse Now |1979
0000001223|317716|8.5|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb |1964
0000001222|128133|8.5|Sunset Blvd. |1950
0000001232|763057|8.5|The Prestige |2006
0000001222|515265|8.4|Alien |1979
0000001223|575054|8.4|The Lion King |1994
0000001222|122936|8.4|The Great Dictator |1940
0000001232|237539|8.4|Das Leben der Anderen |2006
0000001223|137352|8.4|Nuovo Cinema Paradiso |1988
0000001222|553447|8.4|The Shining |1980
0000001232|843556|8.4|Django Unchained |2012
0000001222|109877|8.4|Paths of Glory |1957
0000001223|1035661|8.4|The Dark Knight Rises |2012
0000001222|646311|8.4|WALL·E |2008
0000001222|758466|8.4|American Beauty |1999
0000001223|121718|8.4|Hotaru no haka |1988
0000001222|450621|8.4|Aliens |1986
